	Цена	Кол-во	Операция	Время	Инструмент
1	63 437	3	Продажа	13:36:04	SiH0 [ФОРТС фьючерсы]
2	63 437	1	Продажа	13:36:04	SiH0 [ФОРТС фьючерсы]
3	63 477	4	Продажа	15:58:56	SiH0 [ФОРТС фьючерсы]
4	63 455	1	Купля	16:01:52	SiH0 [ФОРТС фьючерсы]
5	63 455	3	Купля	16:01:52	SiH0 [ФОРТС фьючерсы]
6	63 439	3	Купля	16:47:02	SiH0 [ФОРТС фьючерсы]
7	63 439	1	Купля	16:47:02	SiH0 [ФОРТС фьючерсы]
8	63 444	4	Продажа	16:47:43	SiH0 [ФОРТС фьючерсы]
9	63 506	1	Продажа	16:58:02	SiH0 [ФОРТС фьючерсы]
10	63 506	3	Продажа	16:58:02	SiH0 [ФОРТС фьючерсы]
11	63 484	4	Купля	16:58:51	SiH0 [ФОРТС фьючерсы]
12	63 502	4	Продажа	17:03:16	SiH0 [ФОРТС фьючерсы]
13	63 480	4	Купля	17:04:02	SiH0 [ФОРТС фьючерсы]
14	63 503	4	Продажа	17:11:04	SiH0 [ФОРТС фьючерсы]
15	63 481	4	Купля	17:11:46	SiH0 [ФОРТС фьючерсы]
16	63 691	4	Купля	17:52:27	SiH0 [ФОРТС фьючерсы]
17	63 674	4	Продажа	17:54:59	SiH0 [ФОРТС фьючерсы]
18	63 696	3	Продажа	18:15:38	SiH0 [ФОРТС фьючерсы]
19	63 696	1	Продажа	18:15:38	SiH0 [ФОРТС фьючерсы]
20	63 674	1	Купля	18:20:22	SiH0 [ФОРТС фьючерсы]
21	63 674	1	Купля	18:20:22	SiH0 [ФОРТС фьючерсы]
22	63 674	1	Купля	18:20:22	SiH0 [ФОРТС фьючерсы]
23	63 674	1	Купля	18:20:22	SiH0 [ФОРТС фьючерсы]
